timestamp,exp_group,experiment,seed,trainer_type,best_val_acc,final_train_loss,final_train_acc,train_time_minutes,avg_inner_steps,use_lr_decay,k_value,lambda_stat,lambda_smooth,early_stop_rate,gpu_memory_peak_mb,status,error_message
2026-03-22T18:12:05.027125,B,B1_Baseline,42,MAML,0.9435,0.1169,0.9500,7.96,5,False,1000,0.0,0.0,0.0,129.0,success,
2026-03-22T18:19:54.298845,B,B1_Baseline,123,MAML,0.9387,0.1101,0.9533,7.82,5,False,1000,0.0,0.0,0.0,129.0,success,
2026-03-22T18:27:45.197881,B,B1_Baseline,456,MAML,0.9400,0.0674,0.9800,7.85,5,False,1000,0.0,0.0,0.0,129.0,success,
2026-03-22T18:39:46.206707,B,B2_Momentum,42,SGD-Y,0.9551,0.0651,0.9800,12.02,5.0,False,1000,0.0,0.0,0.0,133.7,success,
2026-03-22T18:51:49.731150,B,B2_Momentum,123,SGD-Y,0.9644,0.1096,0.9700,12.06,5.0,False,1000,0.0,0.0,0.0,133.7,success,
2026-03-22T19:03:51.694361,B,B2_Momentum,456,SGD-Y,0.9552,0.0628,0.9867,12.03,5.0,False,1000,0.0,0.0,0.0,133.7,success,
2026-03-22T19:18:09.276912,B,B3_Dual_Convergence,42,SGD-Y,0.9627,0.0539,0.9900,14.29,5.6,False,3,0.0,0.0,1.0,202.5,success,
2026-03-22T19:32:37.294286,B,B3_Dual_Convergence,123,SGD-Y,0.9628,0.1116,0.9633,14.47,5.4,False,3,0.0,0.0,1.0,202.5,success,
2026-03-22T19:47:05.253809,B,B3_Dual_Convergence,456,SGD-Y,0.9667,0.0630,0.9933,14.46,5.6,False,3,0.0,0.0,1.0,210.2,success,
2026-03-22T20:01:27.833775,B,B4_LR_Decay,42,SGD-Y,0.9648,0.0632,0.9900,14.37,5.5,True,3,0.0,0.0,1.0,187.6,success,
2026-03-22T20:15:51.010959,B,B4_LR_Decay,123,SGD-Y,0.9651,0.1087,0.9667,14.38,5.6,True,3,0.0,0.0,1.0,187.4,success,
2026-03-22T20:28:39.459477,B,B4_LR_Decay,456,SGD-Y,0.9639,0.0627,0.9867,12.81,5.6,True,3,0.0,0.0,1.0,195.3,success,
2026-03-22T20:41:02.970976,B,B5_Full,42,SGD-Y,0.9648,0.0882,0.9900,12.39,5.5,True,3,0.01,0.001,1.0,187.6,success,
2026-03-22T20:53:27.147847,B,B5_Full,123,SGD-Y,0.9651,0.1351,0.9667,12.40,5.6,True,3,0.01,0.001,1.0,187.4,success,
2026-03-22T21:05:54.045782,B,B5_Full,456,SGD-Y,0.9639,0.0871,0.9867,12.45,5.6,True,3,0.01,0.001,1.0,195.3,success,
